logged_user,header,ログイン中,,
affiliation,header,所属,,
store_name,header,店舗名,,
name,header,氏名,,
responsible,header,担当,,
common,currency,コモン,,
zip_address,currency,郵便番号住所,,
currency,currency,通貨,,
exchange_rate_change,currency,為替レート変更,,
import,currency,インポート,,
file,currency,ファイル,,
exchange_rate_list,currency,為替レート一覧,,
currency_name,currency,通貨名,,
symbol,currency,表示記号(接頭辞）,,
symbol_2,currency,表示記号(接尾辞）,,
abbreviation,currency,略称,,
start_date,currency,適用開始日時,,
rate,currency,レート(円),,
save,currency,保存,,
alert,currency,,Error! Please try again later!,
country,currency,発行国,,
close,currency,閉じる,,
end_date,currency,適用終了日時,,
history,currency,履歴,,
delete,search_company,削除,,
custormer_info,search_company,取引先情報,,
trading_partner,search_company,取引先管理,,
corporate_offices,search_company,企業拠点,,
corporate_info,search_company,企業情報,,
add_new_corporate,search_company,取引先企業情報を追加,,
corporate_code,search_company,法人コード,,
corporate_name,search_company,法人名,,
customer_filter,search_company,取引先区分,,
vendors_tm,search_company,ベンダー（タイムマシン),,
oroshisaki_tm,search_company,卸先（タイムマシン）,,
others_tm,search_company,その他(タイムマシン),,
vendors_tmn,search_company,ベンダー（TMN),,
oroshisaki_tmn,search_company,卸先（TMN）,,
others_tmn,search_company,その他(TMN),,
update_date,search_company,更新日,,
operation,search_company,操作,,
button,search_company,検索,,
tmn,search_company,TMネットワーク,,
tm,search_company,タイムマシン,,
other,search_company,その他,,
supplier,search_company,ベンダー,,
wholesale,search_company,卸先,,
waiting,all,,Wait…,
alert,all,警告,Alert,
cancel,all,キャンセル,Cancel,
confirm,all,確認,Confirm,
delete,all,削除,Delete,
save_button,all,保存,,
companyName,add_company,企業名,,
street_address,add_company,住所,,
overseas,add_company,海外,,
postal_code,add_company,郵便番号,,
inputAutomatic,add_company,自動入力,,
Prefectures,add_company,都道府県,,
City,add_company,市区町村,,
Others,add_company,その他,,
phone_number,add_company,電話番号,,
fax,add_company,FAX,,
execl,add_company,Execlデータ,,
add_phone,add_company,電話番号フィールド追加,,
trading_cutoff_date,add_company,取引締め日,,
payment_date,add_company,支払い日,,
customer_segment,add_company,取引先区分,,
brands,add_company,取り扱いブランド(ベンダー用),,
wholesale_rank,add_company,卸先ランク(卸先用),,
ordering_method,add_company,発注方式(ベンダー用）,,
Remarks,add_company,備考,,
save_button,add_company,保存,,
country,add_company,国内,,
country_select,add_company,国,,
state_and_country,add_company,州・県・地方,,
address,add_company,アドレス,,
custormer_info,add_company,取引先情報,,
corporate_info,add_company,企業情報,,
h4,add_company,企業情報管理,,
add_client,add_company,拠点情報を追加,,
corporate_code,add_company,法人コード,,
title,add_company,株式会社テキスト,,
Site_name,add_company,拠点名,,
kind,add_company,種別,,
cb_initial,add_company,初期不良送付先,,
cb_repair,add_company,修理送付先,,
cb_bill,add_company,請求書送付先,,
cb_order,add_company,発注先,,
cb_oroshisaki,add_company,卸先,,
cb_other,add_company,その他,,
Site_name,client_table,拠点名,,
kind,client_table,種別,,
update_date,client_table,更新日,,
number,phone_element,電話番号,,
add,phone_element,電話番号フィールド追加,,
emp,emp_element,担当者,,
email,emp_element,担当者メールアドレス,,
add,emp_element,担当者フィールド追加,,
trading_partner,search_client,取引先管理,,
Corporate_offices,search_client,企業拠点,,
corporate_info,search_client,企業情報,,
corporation_code,search_client,法人コード,,
Corporation_name,search_client,法人名,,
Customer_segmentation,search_client,取引先区分,,
Site_name,search_client,拠点名,,
kind,search_client,種別,,
cb_initial,search_client,初期不良送付先,,
cb_repair,search_client,修理送付先,,
cb_bill,search_client,請求書送付先,,
cb_order,search_client,発注先,,
cb_oroshisaki,search_client,卸先,,
cb_other,search_client,その他,,
button_search,search_client,検索,,
Table.update,search_client,更新日,,
Table.operation,search_client,操作,,
tm,search_client,タイムマシン,,
tmn,search_client,TMネットワーク,,
delete_notification,department,Would you like to delete this department？,Would you like to delete this department？,
code,department,部署コード,Department code,
name,department,部署名,Department name,
person_in_charge,department,責任者,Person in charge,
affiliation,department,所属,Affiliation,
updated_time,department,更新日,Updated time,
operation,department,操作,Operation,
delete,department,削除,Delete,
search,department,検索,Search,
information_management,department,部署情報管理,Department information management,
add_a_department_information,department,+部署情報を追加,Add a department information,
department_information_management,department,部署情報管理,Department information management,
based_information_management,department,拠点情報管理,Based information management,
save,department,保存,Save,
new_registration,department,新規登録,new registration,
department,department,部署,Department,
information,tmGroup,タイムマシングループ情報,Time Machine group information,
Customer_information,brand,取引先情報,,
Trading_Partner_Management,brand,取引先管理,,
Brand_List,brand,ブランド一覧,,
saved,brand,保存しました,,
brand_name,brand,ブランド名,,
Search,brand,検索,,
Add,brand,+追加,,
Items,brand,商品数,,
Time_Machine_group_inform,base_site_change,タイムマシングループ情報,,
Based_inform_management,base_site_change,拠点情報管理,,
Department_inform_management,base_site_change,部署情報管理,,
Site_location_inform_management,base_site_change,拠点場所情報管理,,
Tokyo_office,base_site_change,東京事務所,,
saved,base_site_change,保存しました,,
Site_name,base_site_change,拠点名,,
affiliation,base_site_change,所属,,
Street_address,base_site_change,住所,,
Domestic,base_site_change,国内,,
overseas,base_site_change,海外,,
postal_code,base_site_change,郵便番号,,
Automatic_input,base_site_change,自動入力,,
Prefectures,base_site_change,都道府県,,
City,base_site_change,市区町村,,
Other,base_site_change,その他,,
Kind,base_site_change,種別,,
phone_number,base_site_change,電話番号,,
save,base_site_change,保存,,
add_department_inform,base_site_change,+部署情報を追加,,
error_has_occurred,base_site_change,エラーが発生しました,,
error_message_text,base_site_change,エラーメッセージテキスト　,,
department_code,base_site_change,部署コード,,
department_name,base_site_change,部署名,,
Search,base_site_change,検索,,
display_number,base_site_change,表示件数,,
person_in_charge,base_site_change,責任者,,
affiliation,base_site_change,所属,,
update_date,base_site_change,更新日,,
operation,base_site_change,操作,,
display_number,base_site_change,表示件数,,
add_location_inform,base_site_change,+ 拠点情報を追加,,
site_location_name,base_site_change,拠点場所名,,
base_location_code,base_site_change,拠点場所コード,,
please_select_a_file,postal_code,ファイルを選択してください。,Please select a file,
